id,reason,explanation
04-119-0011,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-119-0019,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-145-0019,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-026-0017,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-036-0017,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-038-0003,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-039-0042,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-141-0041,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-141-0044,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-141-0045,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-141-0046,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
05-141-0083,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report. Military base."
06-012-0084,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
06-135-0025,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
06-146-0024,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
